words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
bad,0.5937,0.1268,-0.0111,-0.0172,-0.1631,0.0666,-0.0924,0.1056,-0.0523,0.0209,-0.0794,0.0597,-0.0747,-0.0628,-0.0041,-0.0508,-0.0643,-0.0084,0.0174,0.0944,0.187,0.1095,-0.0326,-0.0361,-0.0156
baffled,0.0879,0.0711,0.049,-0.1587,0.0628,0.0578,-0.1244,-0.1573,-0.0607,0.0463,0.0096,-0.0264,-0.2412,0.0077,0.1693,0.231,-0.0083,-0.0512,0.1399,0.1131,0.0237,0.0006,0.0185,-0.1695,0.0866
beatified,-0.5254,0.1072,0.117,0.0902,0.0692,0.1469,-0.0019,0.1168,0.0458,-0.1381,0.016,-0.0199,-0.0858,-0.1149,-0.2202,-0.0042,0.0457,0.0853,-0.06,-0.0297,0.0327,0.103,0.13,-0.0327,0.0293
befuddlement,0.1056,-0.1933,-0.2228,-0.2339,0.0497,0.0838,0.027,-0.1574,0.0532,0.0078,-0.1663,0.0642,-0.0554,0.0345,-0.0952,-0.1566,0.2621,0.1244,0.1178,0.058,0.0924,-0.0502,-0.0745,0.0405,-0.054
belittlement,0.3935,0.0874,0.0738,0.0781,-0.0233,-0.054,-0.0847,0.0055,-0.1306,-0.1479,0.1314,0.121,0.0831,0.0678,-0.0186,0.0534,0.118,-0.0003,0.0165,0.03,0.1179,-0.0393,0.1444,-0.0074,0.1391
belligerence,0.583,0.2936,-0.0457,0.1508,0.017,-0.0206,0.0389,0.089,-0.0328,0.0295,-0.1123,0.0493,0.079,-0.0107,0.0125,0.1327,0.1641,-0.066,-0.0623,-0.0306,-0.0039,0.1095,-0.0773,0.0143,-0.1079
bemused,-0.1938,0.1404,0.0126,-0.1991,0.1764,0.0796,-0.0556,-0.1203,0.0806,-0.0006,0.2615,-0.1423,0.1398,0.0036,0.1541,-0.0059,0.0767,0.1763,0.094,-0.1249,0.0325,-0.0679,0.041,0.0155,-0.1001
bewilderment,-0.0025,0.1401,0.0062,-0.22,-0.176,0.0662,0.1104,-0.2192,0.0239,-0.0319,-0.0037,0.0905,0.0758,-0.01,0.0418,-0.1489,0.0623,-0.0216,-0.0319,-0.0798,0.0779,-0.1237,0.1399,0.1065,-0.1009
bipolarity,0.1008,-0.0099,-0.2106,0.0692,0.0022,0.0817,-0.0072,-0.2649,-0.0856,0.0643,-0.0095,-0.1737,0.0568,-0.1125,0.0572,0.1017,0.1234,0.1245,-0.0383,0.0759,-0.1841,0.0629,0.1622,-0.1251,-0.1246
bitterness,0.5411,0.0881,0.0143,0.0293,0.189,-0.1129,-0.0298,-0.0101,-0.0966,0.0548,0.0951,0.1129,0.0976,-0.02,-0.0425,-0.0066,-0.0516,0.0749,-0.0206,0.0963,0.1275,0.0984,0.0171,-0.1027,-0.1511
blank,0.0219,-0.4219,-0.0804,-0.0166,-0.0961,-0.0862,0.0087,-0.014,0.0375,-0.0742,0.0469,-0.0615,-0.1203,0.0841,-0.152,0.0178,0.1958,-0.1078,-0.0514,0.0918,0.1072,-0.1439,-0.1332,0.0767,-0.0998
bleakness,0.4462,-0.3369,-0.1538,0.0015,0.0324,0.0537,0.0116,0.0654,0.0742,0.0009,0.1557,0.1053,0.117,-0.0414,0.1367,-0.1622,-0.0958,-0.0687,-0.0003,-0.133,0.0304,-0.0339,-0.14,-0.0066,-0.0011
blessedness,-0.7844,0.0053,-0.0044,0.0282,0.017,-0.0256,-0.0274,-0.1222,0.027,-0.0101,-0.0224,0.0483,0.0619,-0.0756,-0.1915,-0.0295,0.0423,0.081,0.2486,0.0089,0.0663,0.1319,-0.1779,0.0958,0.0203
blues,0.4187,-0.2485,0.0136,0.0462,-0.1003,-0.096,-0.0482,-0.0039,-0.1914,0.0474,-0.0705,-0.1634,0.1435,-0.1386,-0.1737,0.0826,-0.0886,-0.0508,-0.0454,-0.1446,0.0195,-0.0913,-0.1226,-0.027,0.1482
bombshell,-0.1588,0.3828,-0.1694,-0.1157,0.018,-0.2035,0.1869,0.1623,0.1511,0.0369,0.0243,-0.1559,0.0748,-0.1705,0.0332,0.2422,-0.0187,0.0601,0.0187,-0.0516,0.0265,-0.0748,-0.1329,0.0056,-0.0114
boredom,0.1271,-0.4649,-0.1619,-0.0443,-0.0087,-0.0283,0.013,0.1109,0.0509,-0.0298,0.0391,0.1594,-0.118,-0.1233,-0.0529,-0.0776,-0.0096,-0.0354,-0.1409,-0.1223,-0.2474,0.0419,-0.0168,0.0319,-0.0352
braggadocio,0.0254,0.1711,-0.2111,0.2021,0.2487,0.1703,0.0677,-0.2244,0.1902,0.0376,0.073,0.1386,-0.129,0.0245,0.0402,0.0177,-0.0662,-0.1184,-0.0706,-0.0208,-0.1002,-0.1116,0.0113,-0.0121,-0.0049
bummer,0.405,-0.2976,0.0728,0.0749,-0.1939,0.0994,-0.0446,-0.0957,-0.0701,-0.0699,-0.0644,0.054,0.0952,-0.0405,0.1499,0.0453,0.0264,-0.1446,0.0437,-0.0821,0.0422,0.0408,0.088,-0.0921,0.0593
burdened,0.3008,-0.173,0.0182,0.1144,0.0243,0.1932,0.1875,-0.1702,0.1266,-0.0293,0.0561,0.0407,0.2205,0.0384,-0.055,0.0932,-0.0882,0.2248,0.177,0.0457,-0.008,-0.0643,0.0893,-0.0182,0.0566
burn,0.2743,0.2232,0.2573,0.129,-0.0873,-0.1194,0.0262,0.0422,-0.2058,0.1316,0.0299,0.0786,-0.1259,-0.1455,0.0669,-0.0775,0.1608,-0.0412,-0.1009,-0.1192,0.0582,0.0075,0.028,0.1028,0.0926
calculation,-0.1922,-0.0163,0.2664,0.2169,-0.0186,-0.1667,-0.0168,0.0095,0.1588,0.0733,0.132,0.0019,0.1095,0.0198,-0.1209,-0.1038,-0.0512,-0.0359,0.225,-0.0234,0.0041,-0.0226,-0.1186,0.1082,0.0724
callousness,0.458,0.1245,-0.0661,0.0687,0.0098,0.0209,0.0805,0.1087,0.0436,-0.1383,0.0209,-0.178,-0.162,0.0922,0.2731,-0.053,-0.0974,-0.0428,0.0427,0.0646,-0.101,0.0696,-0.0319,0.0037,0.0658
calm,-0.6013,-0.3607,0.0052,-0.1395,0.1698,-0.1949,0.061,-0.0328,0.0172,0.0185,-0.0095,0.0298,0.1611,0.0151,0.1579,0.1018,0.112,0.0157,0.1103,0.0754,-0.0797,-0.0845,0.0383,-0.0423,-0.0266
calmness,-0.5908,-0.3405,-0.0072,-0.0549,-0.0348,-0.2347,-0.0661,0.1872,0.0361,-0.0215,-0.1333,0.0873,-0.0472,0.0085,-0.0318,0.0874,-0.0829,-0.0237,-0.0059,-0.0166,0.0325,-0.077,-0.0406,-0.052,0.0146
capriciousness,-0.1943,0.2078,-0.4455,0.0328,0.1969,-0.1373,-0.0178,0.0814,-0.0815,0.049,-0.0573,-0.0893,-0.0754,0.0658,0.023,0.0001,0.0842,0.0222,-0.1212,-0.0232,-0.0626,0.0396,0.053,0.0223,-0.0149
casualness,-0.3937,-0.2888,-0.0657,0.1367,0.074,-0.1885,-0.1255,-0.0112,0.0507,0.0286,0.0337,-0.0499,0.0335,-0.0172,0.0997,0.0189,-0.0057,-0.0484,-0.0763,-0.1265,-0.0261,0.1243,-0.0815,0.0662,-0.0241
caution,0.093,0.0388,-0.1219,0.1089,-0.2424,-0.1266,-0.1957,-0.2406,-0.0919,0.0407,0.1101,-0.0678,0.0968,-0.0246,-0.1891,0.1048,-0.021,0.0951,-0.1032,-0.2308,0.0711,0.0935,0.0722,0.0699,0.0374
celebration,-0.7302,0.2951,-0.0579,-0.0617,0.0294,0.2082,0.0224,0.0178,0.0186,0.0848,0.0366,-0.0011,0.0504,-0.0024,-0.0883,-0.0131,-0.0756,-0.0216,-0.0683,0.0029,0.0333,0.0401,-0.0143,-0.0378,0.0744
chagrin,0.2456,0.127,-0.0411,-0.0434,-0.1169,0.2195,-0.148,0.0049,0.0586,0.209,-0.1313,-0.0074,-0.099,0.0478,0.0688,-0.0495,-0.1328,0.1376,0.2019,0.0407,-0.1225,-0.0024,-0.0734,0.0481,0.0767
change,-0.2074,0.0203,0.0372,-0.0354,-0.2008,-0.0586,-0.0345,-0.2528,0.0651,0.044,-0.0883,0.1671,0.0796,-0.1157,0.1539,0.1755,-0.0619,-0.0948,-0.0397,-0.0477,-0.0642,-0.0503,0.0268,-0.038,-0.0222
charge,0.0512,0.312,0.1823,0.0489,-0.0029,-0.1771,0.0619,-0.0471,0.0372,0.0005,-0.1088,0.0218,-0.0343,-0.0327,0.1134,0.0508,0.0402,-0.0831,0.0006,0.0788,0.2123,0.0766,0.0647,-0.0558,0.086
charm,-0.697,0.2211,0.0148,0.0854,-0.0949,0.0472,-0.0101,0.09,-0.0766,-0.0404,0.0033,-0.1118,0.0279,0.0483,0.0876,-0.1127,0.0185,0.0707,-0.028,-0.0557,-0.0817,-0.077,-0.0054,0.0342,-0.0041
cheer,-0.7629,0.2034,-0.0874,-0.0365,0.0027,0.1184,-0.0485,0.1717,-0.0481,0.0527,-0.0751,0.0807,-0.0365,-0.0159,-0.0506,-0.0437,-0.0844,-0.0049,-0.0432,-0.0129,0.0585,0.0577,0.0075,-0.0072,0.0521
cheerful,-0.7191,0.091,-0.0609,0.1024,-0.0632,0.1999,-0.0228,0.1795,-0.0725,0.0011,-0.0096,0.0753,-0.0287,0.0088,0.0863,-0.0095,0.0228,0.0614,-0.0126,0.032,-0.049,0.0077,-0.0256,0.0822,-0.0079
cheerfulness,-0.7415,0.1572,-0.0377,0.024,0.0427,0.0907,-0.1947,-0.2264,-0.123,0.0838,-0.005,0.0905,0.0663,-0.0094,0.0531,-0.0528,0.0258,-0.1051,0.003,0.0007,-0.0311,-0.0026,0.0718,-0.0214,-0.0246
clownish,-0.3007,0.1626,-0.345,0.172,-0.1072,-0.1633,0.0392,0.203,0.0205,-0.2584,0.0576,-0.1791,0.0186,0.0222,0.0647,-0.0352,-0.1037,-0.0193,0.0438,-0.0418,0.0449,0.0214,0.0355,-0.1414,-0.0124
cockiness,0.151,0.2686,0.0689,0.251,0.2511,-0.0059,-0.07,0.1712,0.1622,0.1711,-0.1125,0.0582,-0.1119,0.0825,0.0908,-0.111,-0.0269,-0.1105,0.0036,-0.0111,-0.0326,0.049,0.0531,-0.1523,-0.1081
coldness,0.3874,0.0496,-0.2066,0.0379,0.259,-0.013,0.0725,-0.0216,0.2203,0.1566,0.1165,-0.0164,0.1715,0.1046,-0.0853,-0.1202,0.0903,-0.0879,-0.1355,-0.0089,-0.04,-0.0312,-0.0122,0.068,-0.037
comfortable,-0.6542,-0.1472,0.0498,0.0658,-0.2808,-0.085,-0.0706,-0.1132,0.0689,0.0699,-0.0156,-0.0069,0.0542,-0.0362,0.116,0.035,0.0779,-0.0963,0.0299,0.0454,-0.0543,-0.0895,0.0264,-0.0146,-0.0068
comicality,-0.6107,0.135,-0.1428,0.0302,0.063,-0.1342,-0.0354,0.2929,-0.0802,-0.0142,-0.0841,0.0004,0.0065,-0.0897,0.0487,-0.0926,0.0166,0.1441,-0.024,0.0252,0.0277,-0.0255,0.0106,0.0137,-0.051
complacency,-0.2393,-0.0788,-0.1365,0.1515,0.0071,-0.22,-0.1579,0.0221,-0.0962,0.0441,-0.0379,0.1005,-0.0022,-0.0236,-0.1262,0.0215,0.0855,0.0459,-0.1645,0.1059,0.0057,-0.0045,-0.0695,-0.1507,-0.0142
