Video Time,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted
00:05.3,0.7226395,0.03973315,0.1285904,0.000277425,0.002517065,0.004700397,0.000065065
00:05.4,0.7246221,0.03876817,0.1264524,0.000285138,0.002471081,0.004573277,0.000065302
00:05.5,0.7128949,0.04145618,0.1241668,0.000279513,0.002383085,0.004510374,0.000064193
00:05.5,0.7092628,0.04071616,0.1261219,0.000284618,0.002324297,0.004544277,0.000064499
00:05.6,0.7029909,0.04156699,0.1253573,0.000283767,0.00226882,0.004486926,0.000063779
00:05.6,0.6995341,0.04295357,0.1222481,0.000285065,0.002210615,0.00429117,0.000063289
00:05.7,0.6867666,0.04770564,0.1187724,0.000277141,0.002160518,0.004137706,0.000061264
00:05.7,0.6772111,0.04918486,0.1177508,0.000275798,0.00213412,0.004113717,0.000059978
00:05.8,0.6682041,0.05048224,0.1178986,0.00027651,0.002077967,0.004146755,0.000058668
00:05.8,0.6640726,0.05262413,0.116485,0.00027225,0.002021678,0.004113844,0.000058314
00:05.8,0.6652828,0.05504336,0.1145321,0.000268119,0.001991345,0.003962129,0.000058251
00:05.9,0.6514096,0.06082051,0.1128482,0.00025794,0.001941064,0.003939287,0.000057331
00:05.9,0.6492692,0.06085038,0.1134986,0.000258643,0.001911358,0.00396387,0.000057268
00:06.0,0.6347097,0.06645221,0.1123663,0.00024905,0.001871943,0.003929705,0.000058342
00:06.0,0.6267664,0.07095812,0.1101704,0.000242434,0.00183246,0.003823493,0.000058665
00:06.1,0.6149715,0.07561106,0.1079725,0.00023728,0.001788901,0.003740259,0.000058451
00:06.2,0.6027038,0.07945296,0.1068917,0.000234149,0.001768138,0.003678618,0.000059011
00:06.2,0.5900022,0.08399209,0.1061073,0.000231277,0.001708535,0.003702683,0.000058695
00:06.3,0.5691978,0.09840742,0.1009728,0.000223306,0.001679189,0.003549473,0.00005674
00:06.3,0.5601749,0.1016635,0.09904106,0.000219713,0.001671288,0.003508585,0.00005654
00:06.3,0.5571106,0.1035891,0.0962551,0.000222528,0.001656633,0.003471309,0.000054738
00:06.4,0.5542672,0.1047655,0.09523587,0.000223959,0.001643774,0.003417021,0.000053155
00:06.4,0.5387201,0.1103354,0.0924129,0.000219985,0.001672352,0.003372516,0.000050836
00:06.5,0.5409629,0.1148008,0.08841568,0.000217023,0.001690917,0.003275403,0.000049564
00:06.6,0.5434248,0.1150336,0.08579731,0.00021866,0.001717921,0.003224282,0.00004865
00:06.6,0.5499868,0.1161315,0.08320681,0.000218521,0.001710549,0.003136208,0.00004837
00:06.7,0.556415,0.1143967,0.08145492,0.000225323,0.001722765,0.003074876,0.000047364
00:06.7,0.5612943,0.1128978,0.0803137,0.00022843,0.001740407,0.003019325,0.000046845
00:06.8,0.5636237,0.1140691,0.07868568,0.000227489,0.001738675,0.002952497,0.000047458
00:06.8,0.553853,0.1189906,0.07640681,0.000228382,0.001759449,0.002849931,0.000046942
00:06.8,0.5507125,0.1188447,0.07652034,0.000234206,0.001783437,0.002780495,0.000046875
00:06.9,0.5508397,0.1188384,0.07573382,0.000238149,0.001778541,0.002738977,0.000046147
00:07.0,0.5379463,0.1236812,0.07463838,0.000237405,0.001807083,0.002683035,0.000044635
00:07.0,0.5274941,0.1258913,0.07491646,0.000229458,0.001821625,0.002712159,0.000044117
00:07.0,0.5239431,0.1244405,0.07385801,0.000228381,0.001935893,0.002682769,0.000043907
00:07.1,0.5104908,0.1273093,0.07107518,0.000224849,0.002013318,0.002687329,0.000043055
00:07.1,0.5092975,0.1250681,0.06988623,0.00022275,0.002101124,0.002700191,0.000043161
00:07.2,0.5070828,0.1260984,0.06765977,0.000225498,0.002137321,0.002678002,0.000044361
00:07.3,0.509598,0.1270874,0.0657686,0.000228394,0.002182789,0.002653777,0.000045422
00:07.3,0.5003406,0.1301144,0.06440108,0.000232696,0.002214757,0.002676788,0.000045446
00:07.3,0.4983118,0.1265189,0.0656687,0.00023211,0.002226518,0.002888699,0.000047389
00:07.4,0.4956705,0.1236851,0.06642664,0.000231202,0.002247078,0.003018663,0.000048933
00:07.5,0.4969671,0.1209568,0.06662657,0.00023342,0.002296311,0.00304619,0.00004952
